Major_Cd,N_Terms,Graduated,Transfer_Cr,Inst_Cr,ACCT220,ACCT230,ECON160,ECON161,COMP100,SOM120,ENGL205,BLAW280,MATH103,MATH150A,MATH150B,BUS302,FIN303,MGT360,MKT304,SOM306,BUS497,BLAW308,FIN352,FIN355
230727B,1,Y,70,52,1:1B,1:1A,1:1B,1:1A,1:1A,1:1D,0:0NA,1:1A,0:0NA,0:0NA,0:0NA,3:1B,1:1C-,3:0,1:1C+,2:1C,0:0NA,1:1C+,0:0NA,0:0NA
230727B,1,N,70,43,1:1C,1:1B,1:1C,1:1C,1:1B,0:0NA,0:0NA,1:1B,1:1C,0:0NA,0:0NA,2:1B,1:1C,1:1C-,2:1B-,3:1C,0:0NA,1:1C,0:0NA,0:0NA
230727B,1,N,3,137,4:0B+,1:1D,2:1C,1:1B-,1:1C+,0:0NA,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,1:1B,1:1B,1:1C+,1:1C-,1:1B,0:0NA,1:1D+,0:0NA,0:0NA
230727B,1,Y,67,58,1:1B,1:1A,1:1A,1:1A,1:1B,2:0,0:0NA,1:1A,0:0NA,1:1C,0:0NA,1:1B,1:1B-,1:1B,1:1B,1:1A-,0:0NA,2:1B-,0:0NA,0:0NA
230727B,1,Y,6,129,1:1B-,1:1C,1:1C,1:1D,1:1A,1:1B-,0:0NA,1:1B,0:0NA,0:0NA,0:0NA,1:1B+,1:1D,1:1D-,1:1C,0:0NA,0:0NA,1:1D,0:0NA,0:0NA
230727B,1,N,54,18,1:1A,1:1B+,1:1B+,1:1C,0:0NA,0:0NA,0:0NA,1:1D,0:0NA,0:0NA,0:0NA,0:0NA,1:1C-,0:0NA,0:0NA,1:1B-,0:0NA,1:1B,0:0NA,0:0NA
230727B,1,N,98.3,21,1:1C,1:1C,2:0F,1:1C,2:1C,2:1C,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,1:0F,1:0,0:0NA,1:1D-,0:0NA,0:0NA,0:0NA,0:0NA
230727B,1,Y,70,58,1:1B,1:1C,1:1A,1:1A,1:1B,1:1C+,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,1:1B,2:1C+,1:1C,1:1B-,3:1B,0:0NA,1:1C-,0:0NA,0:0NA
230727B,1,Y,50,149,1:1B+,1:1C,1:1C,1:1B,1:1B,2:1B,0:0NA,2:1C,1:1A,0:0NA,0:0NA,0:0NA,2:1C+,2:1C,2:1B-,1:1C+,0:0NA,1:1B-,0:0NA,0:0NA
230727B,1,Y,69,51,1:1B,1:1A,1:1A,1:1B,1:1B,0:0NA,0:0NA,1:1B,0:0NA,0:0NA,0:0NA,1:1B-,1:1A,1:1C,1:1C,0:0NA,0:0NA,1:1B-,0:0NA,0:0NA
230727B,1,Y,70,64,1:1B,1:1B,1:1A,1:1C,1:1B,0:0NA,0:0NA,1:1C,0:0NA,1:1C,0:0NA,1:1B+,1:1A,1:1A,1:1B-,1:1C,0:0NA,1:1B-,0:0NA,0:0NA
230727B,1,Y,70,52,1:1A,1:1C,1:1B,1:1A,1:1A,0:0NA,0:0NA,1:1A,1:1B,0:0NA,0:0NA,1:1B+,1:1A,1:1B+,1:1B,1:1B,0:0NA,1:1B,0:0NA,0:0NA
230727B,1,N,7,45,1:1C+,2:0,1:1C,1:1D,1:1A,1:0F,0:0NA,2:1B,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230727B,1,N,0,6,0:0NA,0:0NA,0:0NA,0:0NA,1:0F,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
