Major_Cd,N_Terms,Graduated,Transfer_Cr,Inst_Cr,MATH105,MATH102,MATH104,MATH255A,BIOL106,BIOL107,CHEM101,CHEM102,PHYS100A,PHYS100B,BIOL322,BIOL360,BIOL380,CHEM333,CHEM334
780602B,2,N,63,16,0:0NA,1:1A,1:1C,0:0NA,1:1C,0:0NA,1:1D,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
780602B,2,N,25,28,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
780602B,3,N,0,54,0:0NA,1:1C,1:1C,0:0NA,2:0A,1:1B,4:0,2:1C,6:1B+,2:1C,0:0NA,0:0NA,0:0NA,1:1B,2:0F
780602B,4,N,3,35,0:0NA,4:1D-,0:0NA,0:0NA,1:0W,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
780602B,4,N,3,80,0:0NA,1:1C,1:1B,2:1C,1:1B,1:0F,1:1C,1:0F,3:0WU,3:0,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
780602B,3,N,10,44,1:1B,1:1C,0:0NA,2:1C,1:1B,1:1B,2:0D+,1:0W,1:1D,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
780602B,2,N,73,22,0:0NA,2:1C,0:0NA,0:0NA,1:1C,1:1C,1:1D,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
780602B,4,N,0,81,1:1C,0:0NA,0:0NA,2:0WU,1:1C+,0:0NA,1:0F,0:0NA,1:0W,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
780602B,2,N,6,66,0:0NA,0:0NA,0:0NA,0:0NA,1:1C,1:1C,1:0F,0:0NA,1:0F,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
780602B,6,N,0,93,2:0,0:0NA,0:0NA,0:0NA,2:1C,2:1C,1:1C+,2:1C-,1:1D-,0:0NA,1:1D,1:0,0:0NA,1:0F,0:0NA
780602B,1,N,70,58,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
780602B,8,N,26,154,2:1C,0:0NA,0:0NA,2:1C-,1:1C,1:1C-,2:1C,2:1D,1:1D-,2:1C,1:1C,4:1C,3:1C,4:1D-,0:0NA
780602B,4,N,44,62,0:0NA,2:1C,0:0NA,0:0NA,1:1D,0:0NA,0:0NA,0:0NA,1:0F,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
780602B,4,N,18,84,2:1C+,0:0NA,0:0NA,1:1C,1:1D,1:0W,1:0W,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
780602B,5,N,14,100,1:1D,0:0NA,0:0NA,0:0NA,1:1C,1:1C,1:0F,0:0NA,2:0U,0:0NA,1:0F,1:0U,0:0NA,0:0NA,0:0NA
780602B,2,N,82.8,0,0:0NA,0:0NA,0:0NA,1:1B,0:0NA,0:0NA,1:1,1:1,2:0,0:0NA,1:0,0:0NA,0:0NA,0:0NA,0:0NA
780602B,2,N,55.2,55,0:0NA,1:0F,0:0NA,0:0NA,1:1A,1:1A,2:1B-,2:0,0:0NA,0:0NA,1:1A-,1:1A-,1:1B,0:0NA,0:0NA
780602B,2,N,64,28,0:0NA,0:0NA,0:0NA,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,1:0,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
780602B,5,N,22,60,0:0NA,1:1C,1:1C,0:0NA,0:0NA,0:0NA,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
780602B,3,N,70,8,1:1B,0:0NA,0:0NA,1:0D,1:1C,0:0NA,0:0NA,0:0NA,1:0WU,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
780602B,6,N,6,87,0:0NA,3:1B+,2:1C+,1:0W,2:0W,1:0W,2:0,0:0NA,1:0F,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
780602B,3,N,6,48,0:0NA,1:0WU,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
