Major_Cd,N_Terms,Graduated,Transfer_Cr,Inst_Cr,ACCT220,ECON309,ECON310,ECON311,ECON401,ENGL205,ENGL305,ENGL306,ECON160,ECON161,MATH103,MATH150A,MATH255A,MATH140,SOM120
233904B,4,N,0,20,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
233904B,9,Y,70,52,1:1C,2:1C,2:0,2:1A-,1:1B,1:1A,0:0NA,0:0NA,1:1B,1:1C,1:1C,0:0NA,1:0C,1:1A,0:0NA
233904B,5,N,60,63,1:1,1:1D+,1:1C,1:1C,1:1B-,1:1B,1:0,0:0NA,1:1A,1:1B,0:0NA,1:1C,1:0C,1:1A,1:0
233904B,7,N,55,67,1:1B,1:1C,1:1B,1:1C,1:1B,0:0NA,0:0NA,0:0NA,1:1A,1:1B,2:1B+,0:0NA,0:0NA,1:1B,0:0NA
233904B,8,N,69.5,67,1:1C,1:1D,1:1C,2:1C+,1:1D,0:0NA,0:0NA,1:1B+,1:1C,1:1C,0:0NA,1:0,0:0NA,1:1C+,0:0NA
233904B,3,Y,90.9,63,1:1A,1:1A,1:1B+,1:1B+,1:1C+,1:1A,0:0NA,0:0NA,1:1A,2:1B+,0:0NA,0:0NA,0:0NA,1:1B+,0:0NA
233904B,7,N,95.3,6,1:1A,1:0,0:0NA,1:0,0:0NA,1:1B,0:0NA,0:0NA,1:1A,1:1A,0:0NA,1:1A,0:0NA,1:1A,0:0NA
233904B,8,Y,70,54,1:1A,1:1A,1:1A,2:1A,1:1D,1:1A,0:0NA,0:0NA,1:1A,1:1A,1:1A,0:0NA,0:0NA,1:1A,0:0NA
233904B,4,N,70,6,1:0F,0:0NA,1:0F,1:0F,0:0NA,1:1B,0:0NA,0:0NA,1:1B,1:1C,0:0NA,1:1A,0:0NA,0:0NA,1:0WU
233904B,9,N,70,51,1:1B,1:1C,2:1B,1:1C+,1:1C,1:1A,0:0NA,0:0NA,1:1B,1:1C,0:0NA,1:1C,1:0C,1:1B,0:0NA
