Major_Cd,N_Terms,Graduated,Transfer_Cr,Inst_Cr,ACCT220,ACCT230,BLAW280,COMP100,ECON160,ECON161,ENGL205,MATH103,SOM120,MATH150A,MATH150B,MATH140,BUS302,FIN303,MGT360,MKT304,SOM306,BLAW308
230726B,5,Y,14,117,1:1A,1:1A,1:1A-,2:0,1:1A,1:1B+,0:0NA,0:0NA,1:1A,0:0NA,0:0NA,0:0NA,1:1A-,1:1CR,0:0NA,0:0NA,1:1B+,0:0NA,1:1A-
230726B,10,Y,17,122,1:1,1:1A,1:1A,1:1A,1:1C,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1B,2:1B+,2:1CR,0:0NA,0:0NA,1:1A-,1:1C+,1:1A-
230726B,2,N,69,34,1:1B,1:1B,1:1A,1:1A,1:1B,1:1A,0:0NA,1:1B,0:0NA,0:0NA,0:0NA,1:1A,1:1B,1:1CR,1:1B+,1:1C+,1:1B,1:1B-,2:1B-
230726B,5,N,20,95,1:1C,1:1B,1:1C-,1:1A,2:0F,1:1C,0:0NA,1:0F,0:0NA,0:0NA,0:0NA,2:0F,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1C-
230726B,8,N,6,61,1:1B-,1:1C,0:0NA,1:1B,1:1B,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230726B,3,Y,68,72,1:1B,1:1A,1:1B,1:1C,1:1C,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1B,1:1C+,3:1CR,1:1C+,1:1C+,1:1C,2:1C,1:1C
230726B,5,Y,21,114,1:1B-,1:1B,1:1A,1:1A,1:1A-,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1A,1:1B+,1:1CR,1:1A-,1:1A-,1:1B,0:0NA,1:1B+
230726B,7,N,16.7,83,1:1A,1:1A-,1:1C,1:1B,1:1C+,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1C,1:1A,1:1CR,1:1A-,2:1A-,2:0,1:1B,1:1B
230726B,7,Y,27,105,1:1A,1:1A,1:1B+,1:1A,1:1C,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1B,1:1B-,3:1CR,1:1C-,1:1B,1:1C,1:1B-,3:1C+
230726B,7,Y,0,125,1:1B-,1:1B,1:1B+,1:1A,1:1B-,1:1D,0:0NA,0:0NA,1:1B-,0:0NA,0:0NA,0:0NA,1:1B,2:1CR,1:1B,1:1B+,1:1B,1:1C+,1:1B
230726B,9,N,49,93,1:1B,1:1B,1:1B,1:1A,1:1C,1:1A,0:0NA,0:0NA,0:0NA,1:0,0:0NA,1:1A,1:1C+,1:1CR,1:1C,2:1B,1:1A,0:0NA,1:1C+
230726B,4,N,12,92,2:0,0:0NA,1:1A,1:1A,1:1C,1:1C,0:0NA,0:0NA,3:0F,0:0NA,0:0NA,4:0,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:0,1:1B
230726B,6,Y,0,128,1:1D-,2:1D-,2:0,1:1B+,2:1D+,1:1D,0:0NA,2:1C+,0:0NA,0:0NA,0:0NA,1:1C,1:1B-,3:1CR,1:1D,1:1C+,1:1B,0:0NA,1:1C
230726B,10,Y,0,153,1:1B+,1:1C+,1:1B+,1:1A,1:1A,1:1B,0:0NA,1:1C,1:1A-,0:0NA,0:0NA,0:0NA,1:1B+,1:1CR,1:1B,1:1B+,1:1B,0:0NA,1:1A-
230726B,8,Y,0,136,1:1A,1:1B-,1:1B-,1:1B+,1:1C+,1:1C-,0:0NA,0:0NA,1:1C+,0:0NA,0:0NA,0:0NA,1:1B,1:1CR,1:1B-,1:1B+,2:1B+,1:1B,1:1B
230726B,6,Y,29,133,1:1A,2:0,2:0,2:1B-,1:1C,1:1C,0:0NA,0:0NA,3:0,0:0NA,0:0NA,0:0NA,1:1A,3:0,1:1A-,1:1C+,2:0,1:1B,3:1C
230726B,6,N,18,69,2:0,0:0NA,1:1A,1:1A,1:1A,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,1:0,3:0,3:0
230726B,10,Y,6,116,1:1D+,1:1C-,1:1C,1:1A,1:1C-,1:1C,0:0NA,1:1B-,2:1C,0:0NA,0:0NA,0:0NA,2:1B+,1:1CR,1:1B-,1:1C-,1:1C+,1:0W,1:1B+
230726B,1,N,79,18,1:1B,1:1B,1:1B,1:1B,1:1B,1:1C,0:0NA,2:1C,1:1C,0:0NA,0:0NA,0:0NA,1:1A,1:1CR,1:1B+,1:1A-,1:1B,1:1D+,1:1C-
230726B,6,Y,95,84,1:1C,2:1C,1:1B,1:1C,1:1D+,1:1B,0:0NA,0:0NA,1:1C,0:0NA,0:0NA,1:1C,1:1C+,1:1CR,1:1C+,1:1B-,1:1B-,2:1C,2:1B
230726B,10,N,67,36,1:1B,1:1B,1:1B,1:1B,1:1C,1:1A,0:0NA,1:1C,2:1D,0:0NA,0:0NA,0:0NA,1:1C-,3:0NC,3:1C+,1:1D,2:1A,0:0NA,1:1C
230726B,1,N,61,12,1:1B,0:0NA,1:1A,1:1A,1:1A,1:1A,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,1:1B+,0:0NA,1:1A
230726B,3,N,14,103,1:1D+,1:1D-,1:1C-,1:1A-,1:1C,2:0,0:0NA,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,1:1B,1:1CR,1:1B,1:1D+,1:1B-,1:1C,1:1B-
230726B,10,Y,55,70,1:1B,1:1B,1:1B+,1:1A,1:1A,1:1A,0:0NA,0:0NA,1:1A-,1:1B,0:0NA,0:0NA,2:1B+,2:1CR,1:1C,1:1B,2:1B+,1:1B,1:1A-
230726B,9,N,3,93,2:1B+,1:0F,1:1C-,1:1B,1:1B,1:1C,0:0NA,0:0NA,1:1C-,0:0NA,0:0NA,0:0NA,1:1B+,1:0NC,1:1B-,1:1D-,1:1B+,1:1C-,1:1C
230726B,4,N,128.9,6,1:1A-,1:1B,1:1B,0:0NA,1:1C,1:1C,0:0NA,1:1A,1:1B-,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1C,1:1A,0:0NA,0:0NA,0:0NA
230726B,9,N,5,143,2:0,2:1C,1:1C+,1:1A-,2:1D,2:1D,0:0NA,0:0NA,1:0,0:0NA,0:0NA,2:1C,1:1B-,1:1CR,2:1B-,2:1D+,1:1C-,0:0NA,1:1D+
230726B,5,Y,65,73,1:1B,0:0NA,1:1C+,1:1B,1:1C-,1:1C,0:0NA,1:0,0:0NA,0:0NA,0:0NA,1:1C,1:1A-,1:1CR,1:1B,1:1B,1:1B,1:0WU,1:1A
230726B,10,Y,12,129,1:1C,1:1D,1:1B-,1:1C-,0:0NA,0:0NA,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,1:1C,2:1B-,2:1CR,2:1B+,1:1C,2:1C,2:1C,3:1D
230726B,4,Y,148,58,1:1B,0:0NA,1:1C,1:1A,1:1B,1:1C,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,1:1A,2:1C+,2:1CR,3:1C-,1:0,2:1B,0:0NA,1:1B+
230726B,6,Y,70,58,1:1B,1:1B,1:1B,1:1A,1:1C,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1C,2:1B,1:1CR,1:1B+,1:1B-,2:1B-,1:1C+,1:1B
230726B,11,Y,9,133,2:1C,1:1B+,1:1B-,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,2:0,0:0NA,0:0NA,0:0NA,1:1B,2:1CR,1:1C,1:1C,2:1B,0:0NA,1:1B-
230726B,2,N,6,21,0:0NA,0:0NA,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:0F,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230726B,8,Y,0,132,1:1B,1:1C,1:1C,1:1C+,1:1C,1:1C,0:0NA,0:0NA,1:0F,0:0NA,0:0NA,1:1B,1:1B,2:1CR,1:1B-,1:1D+,1:1C,1:1C+,1:1C+
230726B,5,Y,63,67,1:1A,1:1A,1:1A,1:1A,1:1B,1:1B,0:0NA,0:0NA,1:1B+,1:1C,0:0NA,0:0NA,1:1A,2:1CR,1:1B-,2:0,1:1A-,0:0NA,1:1A-
230726B,3,N,70,43,1:1C,1:1B,1:1A,0:0NA,1:1C,1:1B,1:1A,1:1B,0:0NA,0:0NA,0:0NA,1:1C,1:1B,1:1CR,2:1A,2:1A,3:1B,1:1C,1:1C+
230726B,12,Y,3,164,1:1A,1:1A,1:1A-,1:1A,1:1A,1:1A-,0:0NA,0:0NA,1:1A,0:0NA,0:0NA,0:0NA,1:1B+,2:1CR,1:1B,1:1B,1:1B-,0:0NA,1:1A
230726B,10,N,0,125,1:1D,1:0F,1:1B+,1:1B,2:0,0:0NA,0:0NA,0:0NA,1:1C,0:0NA,0:0NA,1:0,0:0NA,0:0NA,1:0F,0:0NA,0:0NA,1:1C,1:1D
230726B,4,N,67,61,1:1B,1:1C,1:1B,1:1B,1:1B,1:1C,0:0NA,1:1B,2:1C,0:0NA,0:0NA,1:0WU,1:1C+,2:1CR,1:1D,1:1C+,2:1C-,1:1C-,1:1C+
230726B,8,Y,34,108,1:1C,1:1C,1:1C,2:1B-,2:0,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,2:0,1:1B+,1:1CR,1:1C-,1:1C,1:1C+,0:0NA,2:1B+
230726B,2,N,65,13,1:1C,1:0F,1:1C,1:1C,1:1B,1:1B,1:1B,1:0IC,0:0NA,0:0NA,0:0NA,1:1B-,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230726B,8,Y,63.5,71,1:1D-,2:1C+,1:1B,1:1D,1:1B,1:1C-,0:0NA,0:0NA,1:1D,0:0NA,0:0NA,0:0NA,2:1B+,2:1CR,1:1C,1:1B-,1:1C+,0:0NA,1:1C
230726B,6,N,11,49,1:1B,0:0NA,1:1A,2:0B,1:1B,0:0NA,0:0NA,0:0NA,1:0,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230726B,14,Y,39,124,1:1D,1:1D,2:1C,1:1A,4:0,4:0F,0:0NA,2:1C-,2:1C,0:0NA,0:0NA,0:0NA,1:1B,1:1CR,2:1D,1:1C,1:1C+,1:1C,0:0NA
230726B,11,Y,3,176,1:1B-,1:1B,1:1B-,1:1C,1:1C,1:1B,0:0NA,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,1:1A-,1:1CR,1:1C,1:1C-,1:1D,1:1C,1:1A-
230726B,9,Y,9,116,1:1B+,1:1C+,1:1B,2:1A,1:1A-,1:1A,0:0NA,0:0NA,1:1B,0:0NA,0:0NA,0:0NA,1:1A-,1:1CR,1:1A,1:1A-,1:1A,1:1A-,1:1B+
230726B,8,Y,64,58,1:1C,1:1D,1:1C,1:1A,1:1C,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1B,1:1A-,1:1CR,1:1B-,1:1B-,1:1B+,1:1D+,1:1C-
230726B,6,N,9,101,3:1C,2:1D-,3:1C-,1:1A-,4:0,2:1D+,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1B,1:1B,2:0NC,1:1D+,2:0WU,1:1D+,3:0F,1:1C-
230726B,5,Y,70,52,1:1B,1:1B,1:1B,1:1A-,1:1B,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1C,1:1B,1:1CR,1:1B+,1:1A-,1:1C,1:1C,1:1A-
230726B,3,N,29,58,1:1A,2:0,1:1A,1:1A,1:1A,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,2:1A,3:1A,2:1CR,0:0NA,1:1A,1:1C+,1:1C+,1:1B
230726B,7,Y,66,76,1:1C,1:1B,2:1C+,1:1A,1:1C,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1B,1:1C,2:1CR,3:1C,1:1C-,1:1B,0:0NA,1:1C
230726B,5,N,71.7,40,1:1D,2:0F,1:1B,1:1B,1:1B,1:1A,0:0NA,1:1D,1:1D,0:0NA,0:0NA,0:0NA,2:1B,1:1CR,1:1D,1:1C+,1:1C,1:1C-,1:1C
230726B,3,N,65,24,0:0NA,0:0NA,1:1C,1:1C,1:1A,1:1C,0:0NA,1:0F,0:0NA,0:0NA,0:0NA,2:0F,0:0NA,0:0NA,0:0NA,0:0NA,1:1D,0:0NA,0:0NA
230726B,3,Y,49,76,1:1B-,2:1C+,1:1B+,1:1A-,1:1C,1:1C-,0:0NA,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,1:1B,1:1CR,1:1A-,1:1B,1:1C-,1:1C-,2:0
230726B,8,N,70,30,1:1B,1:1C,1:1B,1:1A,1:1C,1:1B,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,1:1C,2:0,3:0NC,5:1C-,1:1C-,1:1C,1:1D,2:1C-
230726B,14,Y,70,54,1:1B,1:1A,1:1A,1:1A,1:1B,1:1A,0:0NA,1:1C,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1C,1:1B,1:1B,1:0WU,2:1A
230726B,5,N,0,15,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230726B,11,Y,62,81,1:1B,1:1B,1:1B,1:1B,1:1C,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1C,1:1C+,2:1CR,1:1D,1:1C,1:1C,0:0NA,1:1B-
230726B,8,Y,77,77,1:1B,1:1B-,1:1A,1:1A-,1:1C,1:1A,0:0NA,1:1C,1:1D+,0:0NA,0:0NA,1:1A,1:1B+,1:1CR,1:1C-,1:1B-,1:1C,1:1C+,1:1B-
230726B,5,Y,87,86,1:1B-,1:1B,1:1B,1:1C+,1:1C,1:1A-,0:0NA,1:1C,1:0F,0:0NA,0:0NA,1:1A-,1:1C+,1:1CR,1:1C+,1:1B+,1:1B+,0:0NA,1:1C+
230726B,5,Y,70,52,1:1A,1:1C,1:1B,1:1B,1:1B,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1A,1:1B,1:1CR,1:1C,1:1C+,2:1B-,0:0NA,1:1B+
230726B,9,Y,70,52,1:1B,1:1C,1:1B,1:1B,1:1B,1:1A,0:0NA,0:0NA,1:0,0:0NA,0:0NA,1:1B,1:1B,1:1CR,1:1B,1:1B-,1:1B+,1:1C-,1:1C+
230726B,6,N,65,6,1:1B,2:0,1:1C,1:1C,1:1C,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1C,2:0,2:0,2:0,0:0NA,0:0NA,0:0NA,0:0NA
230726B,4,N,70,21,1:1A,1:1B,1:1C+,1:1B-,1:1C,1:1C,1:1C,0:0NA,2:0WU,0:0NA,0:0NA,1:0F,1:1A,1:0NC,2:1C+,1:0F,1:0,1:0,1:0F
230726B,2,N,67,16,1:1C,1:1B,1:1B,1:1A,1:1C,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1C,1:1B-,2:1CR,2:0,1:1C+,1:0F,1:1D,1:1D
230726B,3,N,63,60,1:1D,2:1D-,1:1B,1:1B,1:1D-,3:1D-,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1B,1:1C,3:1CR,2:1C,2:1C,2:1C,3:1C-,2:1C
230726B,5,N,24,17,0:0NA,0:0NA,0:0NA,4:0F,1:0,0:0NA,0:0NA,1:0F,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230726B,1,N,32,26,0:0NA,0:0NA,0:0NA,1:1B+,1:1B-,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230726B,5,N,0,17,0:0NA,0:0NA,0:0NA,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230726B,3,N,0,12,0:0NA,0:0NA,0:0NA,1:0WU,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230726B,3,N,0,6,0:0NA,0:0NA,0:0NA,2:0F,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230726B,6,Y,21,156,2:1D,1:1D+,1:1B,1:1A,1:1C,3:1C-,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1B+,1:1A-,1:1CR,2:1D,1:1C+,1:1D,1:1C-,2:1B-
230726B,7,Y,69,61,1:1C,1:1B,1:1A,0:0NA,1:1C,1:1B,0:0NA,0:0NA,2:0,0:0NA,0:0NA,0:0NA,2:1B+,2:1CR,1:1B-,1:1B,1:1A-,1:1B-,1:1B
230726B,2,N,24,41,0:0NA,0:0NA,1:1C,1:1C,1:0F,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230726B,4,N,0,3,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230726B,5,N,0,3,0:0NA,0:0NA,0:0NA,1:0WU,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230726B,3,Y,70,50,1:1A,1:1A,1:1A,1:1A,1:1A,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1A,2:1A-,1:1CR,1:1B+,1:1C,1:1C,1:1A-,1:1B-
230726B,11,N,9,89,0:0NA,0:0NA,2:0WU,1:1B,2:1D-,1:0,0:0NA,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230726B,6,Y,0,130,1:1C,1:1C+,1:1B+,1:1A,1:1A-,1:1B+,0:0NA,0:0NA,2:1A,0:0NA,0:0NA,0:0NA,1:1A,1:1CR,2:0,1:1A,2:1B,0:0NA,1:1B+
230726B,7,N,0,10,0:0NA,0:0NA,0:0NA,2:0,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230726B,1,N,61,0,0:0NA,0:0NA,0:0NA,1:1A,1:1C,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230726B,14,Y,13,115,1:1B,1:1B,1:1B,2:1A,1:1C,1:1D,0:0NA,0:0NA,1:1B+,0:0NA,0:0NA,0:0NA,1:1B,3:1CR,2:1C,2:1C,1:1C+,1:1C-,1:1C
230726B,1,N,27,0,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:0C,0:0NA,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230726B,5,Y,9,120,2:1D,2:1D+,3:1C-,1:1B,4:1C,1:1D,0:0NA,0:0NA,2:0F,0:0NA,0:0NA,1:1C,1:1B,1:1CR,1:1D-,1:1C,1:1B+,1:1D+,1:1D+
230726B,5,N,70,12,1:1A,1:1A,1:1A,1:1A,1:1B,1:1B,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,1:1A,1:0,0:0NA,0:0NA,0:0NA,1:1C+,0:0NA,1:1B-
230726B,5,N,93,17,1:1A,0:0NA,1:1C,0:0NA,1:1D,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230726B,1,N,42,29,1:1C,1:1A,1:1B,1:1A,1:1C,1:1B,0:0NA,0:0NA,1:0,0:0NA,0:0NA,1:1C,0:0NA,0:0NA,1:1C,1:0,1:1A,2:1C,1:0
230726B,13,Y,70,52,1:1A,1:1B,1:1A,1:1B,1:1C,1:1B,0:0NA,1:1B,0:0NA,0:0NA,0:0NA,1:1C,1:1B+,1:1CR,1:1C,2:1B,1:1C+,0:0NA,2:1B
230726B,6,N,0,59,2:1D,0:0NA,0:0NA,1:1C+,0:0NA,0:0NA,0:0NA,0:0NA,1:0F,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230726B,6,N,25,96,2:1B-,1:1D,1:1B+,2:1A,1:1C,1:1B-,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1C+,1:1C,2:0NC,1:1B,1:1C+,2:1C,2:1C,2:1A-
230726B,3,N,12,33,0:0NA,0:0NA,0:0NA,1:1C,1:1D,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230726B,1,N,70,0,1:1C,1:1B,1:1B,1:0C,1:1C,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230726B,4,N,68,18,2:0,1:1D+,1:1B,1:1B,1:1C,1:0F,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,1:1B,0:0NA,0:0NA,0:0NA,1:0,1:0,0:0NA,1:1C-
230726B,7,N,41,25,1:1C,1:1C,1:1C-,2:0,2:1C,2:0,0:0NA,1:0F,0:0NA,0:0NA,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230726B,10,Y,65,80,1:1D,2:1D+,1:1C,0:0NA,0:0NA,1:1D,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1C,1:1D+,2:0,1:1B,1:1C-,1:1C,1:0,1:1C-
230726B,1,N,64,0,1:1,1:1,1:1A,2:1B,1:1A,1:1A,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230726B,1,N,66.5,0,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230726B,6,Y,6,132,1:1C,3:1C,1:1C+,1:1A,2:1C-,1:1C,0:0NA,2:1C,1:0F,0:0NA,0:0NA,1:1B+,1:1B-,2:0,2:1C-,1:1D+,2:1B,0:0NA,3:1C
230726B,5,Y,70,56,1:1B,1:1B,1:1A,1:1B,1:1B,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1C,1:1B,1:1CR,1:1B+,1:1B-,1:1C,1:1D,1:1B
230726B,7,N,27,62,0:0NA,0:0NA,0:0NA,2:1B,0:0NA,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1D,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230726B,9,N,124,50,1:1C,1:1C,1:1B,1:1B,1:1C,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1B,1:1B,1:1CR,1:1C,1:1C-,1:1C+,1:1D+,1:1D-
230726B,8,Y,70,53,1:1A,1:1A,1:1A,1:1A,1:1B,1:1B,0:0NA,1:1C,2:1B+,0:0NA,0:0NA,0:0NA,1:1B,4:1CR,1:1D,1:1C,1:1D,0:0NA,1:1B
230726B,7,Y,33,102,1:1B,1:1B,1:1C,1:1C-,1:1C,1:1C+,0:0NA,0:0NA,1:1B,0:0NA,0:0NA,0:0NA,1:1C+,1:1CR,1:1C-,1:1C,2:1B,1:1D+,1:1B-
230726B,3,N,0,9,0:0NA,0:0NA,0:0NA,1:0,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230726B,3,Y,0,130,1:1B,1:1C+,1:1B+,1:1A-,1:1A-,1:1A-,0:0NA,0:0NA,1:1B,0:0NA,0:0NA,1:0,1:1B,2:1CR,1:1C+,1:1B,1:1B+,1:1B+,1:1B+
230726B,1,N,70,0,1:1C,2:0,1:1C,1:1A,1:1A,1:1B-,1:0,1:1B,0:0NA,0:0NA,0:0NA,1:1A,1:1C,2:0NC,0:0NA,1:1D,1:0F,1:1C,1:0F
230726B,1,N,70,0,1:1,1:1C,1:1C,1:1C,1:1C,1:1A,1:1B,1:1B,0:0NA,0:0NA,0:0NA,1:1A,1:1B,1:1CR,1:1D,1:1B-,1:1D+,1:1D+,1:1C
230726B,7,N,20,62,1:1B,0:0NA,1:1D+,2:1C,4:0F,1:1C,0:0NA,1:0WU,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230726B,4,N,0,0,0:0NA,0:0NA,0:0NA,2:0WU,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230726B,12,Y,17,123,1:1B,1:1B,1:1B,1:1C,1:1C+,2:1B+,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1A,1:1B,3:1CR,2:1B,1:1B-,1:1C+,1:1C,1:1A-
230726B,5,N,70,48,1:1A,1:1B,1:1C,1:1A,1:1B,1:1A,0:0NA,1:1B,0:0NA,0:0NA,0:0NA,1:1A,1:1A,2:0NC,1:1A,1:1A-,1:1C+,1:1B,1:1C-
230726B,1,N,70,0,1:1B,1:1B,1:1B,1:1B,1:1B,1:1C,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,1:1B,1:1B,2:0NC,0:0NA,1:1C+,1:1C+,1:1C-,1:1C-
230726B,2,N,0,69,0:0NA,0:0NA,0:0NA,1:1A,1:1B,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:0F,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230726B,4,N,22,30,0:0NA,0:0NA,0:0NA,1:1B,0:0NA,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,2:0,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230726B,6,N,59,50,1:1A,1:1A-,1:1A,1:1B,1:1A,1:1A,0:0NA,0:0NA,1:1B,0:0NA,0:0NA,0:0NA,1:1C+,1:1CR,1:0F,1:1B-,1:1B-,0:0NA,0:0NA
230726B,6,N,6,42,1:0I,0:0NA,0:0NA,1:1D,2:1D,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
