Major_Cd,N_Terms,Graduated,Transfer_Cr,Inst_Cr,ACCT220,ACCT230,BLAW280,COMP100,ECON160,ECON161,ENGL205,MATH103,SOM120,MATH150A,MATH150B,MATH140,BUS302,FIN303,MGT360,MKT304,SOM306,BLAW308
230726B,2,N,7,18,0:0NA,0:0NA,1:1B,0:0NA,1:1C,1:1B-,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230726B,1,N,0,68,1:1D+,1:1C-,1:1C,1:1C,2:1C,1:1C,0:0NA,0:0NA,1:1D,0:0NA,0:0NA,0:0NA,1:1B-,3:0,1:1B,1:1C-,1:1D,1:1C+,2:0D-
230726B,2,N,5,26,1:1C,1:1B,1:1B,1:1B,1:1C,1:1C+,0:0NA,0:0NA,0:0NA,1:1B+,0:0NA,1:1B,1:1B+,1:1CR,1:1B,1:1C+,1:1D,1:1C,1:1C
230726B,4,N,66,40,0:0NA,0:0NA,1:1B,1:1A,0:0NA,0:0NA,0:0NA,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230726B,2,N,60,12,1:1A,1:1A,1:1A,1:1B,1:1A,1:1A,0:0NA,0:0NA,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1A,1:1C+,1:1B,0:0NA,1:1A
230726B,7,N,17,84,2:0F,0:0NA,2:1C,1:1C+,2:0F,0:0NA,0:0NA,2:1C,2:0F,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1D-
230726B,2,N,70,30,1:1A,1:1A,1:1A,1:1A,1:1B,1:1B,0:0NA,1:1A,0:0NA,0:0NA,0:0NA,1:1B,0:0NA,0:0NA,1:1B+,1:1A-,1:1B,1:1B-,1:1B
230726B,3,N,70,21,1:1C,1:1B,1:1C,1:1A,1:1A,1:1B,0:0NA,1:1A,2:1C+,0:0NA,0:0NA,0:0NA,1:1B+,1:1CR,1:1C-,2:1D,1:1C,1:1C,1:1C
230726B,3,N,0,86,1:1A,1:1C+,1:1B+,1:1A-,0:0NA,0:0NA,0:0NA,1:1C+,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,3:1A,1:1B,1:1C,0:0NA,1:1B-
230726B,3,N,40,43,1:1A,1:1B,1:1A,0:0NA,1:1C,1:1B-,0:0NA,1:1B,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1A,1:1B,1:1A-,1:1C,1:1C+
230726B,1,N,70,13,2:1,1:1A,1:1A,1:1A,1:1A,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,1:1A-,1:1A,1:1A
230726B,1,N,70,21,1:1C,1:1B,1:1A,1:1A,1:1B,1:1B,0:0NA,1:1C,1:1C+,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1C+,0:0NA,0:0NA,0:0NA,1:1B-
230726B,3,N,3,42,1:1B,1:1B,1:1B+,1:1A,1:1A,1:1B,0:0NA,1:1A,1:1A-,0:0NA,0:0NA,0:0NA,1:1A-,1:1CR,0:0NA,0:0NA,1:1B,0:0NA,1:1C
230726B,3,N,12,48,1:0,0:0NA,1:1C,3:1A-,2:1C,1:0F,0:0NA,0:0NA,2:1D,0:0NA,0:0NA,1:1D+,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230726B,3,N,58,24,2:0,1:1B-,1:1C,1:1D,1:1C,1:1C,0:0NA,0:0NA,1:1B+,0:0NA,0:0NA,0:0NA,1:1A,1:1CR,1:1C-,1:1C+,1:1B,1:1B+,1:1C
230726B,2,N,12,118,2:1D,1:0F,1:1C,1:1A,2:1D,1:1C,0:0NA,2:1C,0:0NA,0:0NA,0:0NA,1:1B,0:0NA,0:0NA,1:0F,1:0F,1:1D+,0:0NA,1:1C
230726B,2,N,28,44,1:0F,0:0NA,1:1C,1:1A,1:0WU,0:0NA,0:0NA,0:0NA,1:0F,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230726B,2,N,0,63,1:1A,1:1A,1:1A-,1:1B+,1:1A,1:1A,0:0NA,1:1A,1:1A,0:0NA,0:0NA,0:0NA,1:1B-,1:1CR,1:1A-,1:1A-,1:1B+,0:0NA,1:1B
