Major_Cd,N_Terms,Graduated,Transfer_Cr,Inst_Cr,ACCT220,ACCT230,BLAW280,COMP100,ECON160,ECON161,ENGL205,SOM120,MATH103,MATH150A,MATH150B,MATH140,BUS302,FIN303,MGT360,MKT304,SOM306,MKT346,MKT348
230750B,1,N,3,3,0:0NA,0:0NA,0:0NA,1:0F,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230750B,1,Y,70,61,1:1A,1:1A,1:1A,1:1A,1:1A,1:1A,0:0NA,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,1:1A,1:1A,1:1A,0:0NA,0:0NA,1:1A,1:1A
230750B,1,Y,71,49,1:1C,1:1C,1:1B,1:1C,1:1B,1:1B,0:0NA,0:0NA,1:1C,0:0NA,0:0NA,1:1B,1:1B-,1:1C+,1:1C+,2:0,1:1C,1:1C,1:1C+
230750B,1,N,0,9,0:0NA,0:0NA,0:0NA,2:1D,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230750B,1,N,70,9,1:1B,1:1B,1:1A,1:1A,1:1B,1:1B,1:1A,0:0NA,1:1C,0:0NA,0:0NA,1:1C,1:1B,1:1C,1:1B+,1:1B+,1:1C+,1:1B,1:1B+
230750B,1,N,70,28,1:1C,1:1C,1:1B,0:0NA,1:1B,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1B,1:1B-,1:0WU,0:0NA,1:1C+,2:1D,1:1C,1:1C
230750B,1,N,60,8,0:0NA,0:0NA,0:0NA,1:0F,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230750B,1,N,70,40,1:1B,1:1B,1:1A,1:1A,1:1B,1:1B,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,1:1B,1:1B-,1:1B+,1:1C+,1:1C+,1:1C,0:0NA,0:0NA
230750B,1,N,61,9,0:0NA,0:0NA,1:0F,1:0F,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:0F,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230750B,1,N,93,9,0:0NA,0:0NA,0:0NA,2:1A-,1:1A,1:1B-,0:0NA,0:0NA,1:1A,0:0NA,0:0NA,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
