Major_Cd,N_Terms,Graduated,Transfer_Cr,Inst_Cr,ACCT220,ACCT230,BLAW280,COMP100,ECON160,ECON161,ENGL205,SOM120,MATH103,MATH150A,MATH150B,MATH140,BUS302,FIN303,MGT360,MKT304,SOM306,MKT346,MKT348
230750B,3,N,57,9,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230750B,6,N,28,31,1:1B+,0:0NA,1:1B,1:1A,1:1A-,1:1B-,0:0NA,0:0NA,1:1A,0:0NA,0:0NA,2:1B,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230750B,2,N,0,95,1:0F,0:0NA,1:1C-,1:1A,1:0F,0:0NA,1:1C+,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230750B,4,Y,82,56,1:1A,1:1B,1:1B-,2:1B,1:1A,1:1C,1:1B,0:0NA,0:0NA,1:1A,0:0NA,1:1A,1:1C+,0:0NA,1:1A,1:1B-,2:0,1:1C,1:1B-
230750B,8,Y,70,52,1:1B,1:1B,1:1C,1:1A,1:1C,1:1C,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,1:1B,1:1B,1:1C,1:1C-,1:1C-,1:1C-,1:1C,1:1C
230750B,6,Y,68,53,1:1B+,2:1C-,0:0NA,0:0NA,1:1B,1:1C+,0:0NA,1:0C+,1:1B,0:0NA,0:0NA,1:1C+,2:1B-,1:1C,1:1C+,1:1C,1:1C-,1:1C,1:1C
230750B,4,Y,51,70,1:1B,1:1A,1:1C,1:1A,1:1C,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1C,2:1B,1:1A,1:1C,1:1C+,1:1C,1:1C,1:1C-
230750B,9,Y,87,81,0:0NA,0:0NA,1:1C,1:1A,0:0NA,1:1B+,0:0NA,0:0NA,2:1B+,0:0NA,0:0NA,0:0NA,1:1B,1:1A-,0:0NA,1:1A,1:1B-,1:1C+,1:1B+
230750B,5,N,0,70,1:1C,1:1C,1:1B,1:1A,1:1C,1:1D,0:0NA,0:0NA,1:1B,0:0NA,0:0NA,1:1A,0:0NA,0:0NA,1:1B,1:1B-,1:1C,0:0NA,2:0
230750B,5,N,66,16,2:1B,1:1C+,1:1C-,1:1C,1:1B,2:0,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1C,1:1B,1:0F,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230750B,5,N,65,12,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230750B,5,N,12,17,0:0NA,0:0NA,0:0NA,1:1B,1:0,0:0NA,0:0NA,0:0NA,1:0WU,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230750B,5,N,0,30,0:0NA,0:0NA,0:0NA,2:1A,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230750B,5,N,60.2,51,1:1B,3:1C,2:0,1:1A,0:0NA,0:0NA,0:0NA,3:1B+,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,2:1A,1:1D-,2:1B-,2:0,1:0,2:1B+
230750B,6,Y,70,61,1:1A,1:1A,1:1A,1:1A,1:1A,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1A,1:1B+,1:1A,1:1B,1:1A,1:1B-,1:1A,1:1A
230750B,4,N,70,6,1:1A,1:1C,1:1A,1:1B,0:0NA,1:1A,0:0NA,0:0NA,1:1B,0:0NA,0:0NA,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230750B,4,Y,65.5,70,1:1C,1:1D,1:1D+,1:1B,1:1B,1:1C,0:0NA,1:1D,1:1D,0:0NA,0:0NA,0:0NA,1:1A-,0:0NA,1:1D+,1:1C+,1:1D-,1:1D,2:1C
230750B,3,N,10,72,1:1C,1:1B,1:1B,1:1B+,1:1D,1:1C,1:1B-,0:0NA,0:0NA,0:0NA,0:0NA,1:1B,1:1B-,1:1C,1:1B,1:1B,1:1B,0:0NA,0:0NA
230750B,6,Y,70,52,1:1C,1:1C,1:1C,1:1C,1:1C,1:1A,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,1:1C,1:1B,1:1B-,1:1C-,1:1C,1:1C,1:1D,1:1B-
230750B,5,N,18,75,0:0NA,0:0NA,1:1B+,1:1B+,0:0NA,0:0NA,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230750B,1,N,95,0,0:0NA,1:1D,1:1B,0:0NA,1:1C,1:1D,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,1:1A,0:0NA,0:0NA,0:0NA,1:1B,0:0NA,0:0NA,0:0NA
230750B,5,N,0,33,0:0NA,0:0NA,0:0NA,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230750B,7,Y,66,62,1:1B,2:1D,1:1B,1:1B,1:1C,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1C,1:1C,1:1B-,2:1C+,1:1C-,1:1C,1:1C,1:1D-
230750B,5,N,0,17,0:0NA,0:0NA,0:0NA,1:0WU,0:0NA,0:0NA,0:0NA,0:0NA,1:0F,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230750B,1,N,5,0,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230750B,8,Y,74,61,1:1D,1:1C,1:1A-,0:0NA,1:1B,1:1B+,1:1B,1:1B+,1:1A,0:0NA,0:0NA,1:1D,2:1B,0:0NA,1:1B+,1:1B+,1:1C,1:1B,1:1B
230750B,5,Y,0,141,1:1C+,1:1C+,1:1C+,1:1A,2:1D,1:1D+,0:0NA,1:1C+,0:0NA,3:0D-,0:0NA,0:0NA,1:1A,2:1C,2:1C-,1:1D+,1:1C,1:1B-,1:1B
230750B,5,Y,70,52,1:1A,1:1B,1:1C,1:1C,1:1B,1:1C,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,1:1C,1:1C,1:1B,1:1C,1:1B,1:1B-,1:1C,1:1B
230750B,5,N,0,29,0:0NA,0:0NA,0:0NA,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230750B,5,N,66,9,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230750B,5,N,70,31.5,1:1C,0:0NA,1:1A,1:1A,1:1C,1:1C,0:0NA,0:0NA,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,1:1C,1:1C-,1:1C-,1:1B,0:0NA,0:0NA
230750B,2,Y,70,61,2:1A,1:1B,1:1A,1:1A,1:1A,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1A,1:1B+,1:1A,2:1B+,1:1A,1:1B+,1:1B,1:1B+
230750B,3,Y,70,66,1:1B,1:1A,1:1B-,1:1A,1:1B-,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1A,2:0,1:1C+,1:1C,1:1B,2:1C,1:1C-,1:1D+
230750B,4,N,0,22,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230750B,5,N,0,23,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230750B,5,N,6,33,0:0NA,0:0NA,0:0NA,1:1B-,0:0NA,0:0NA,0:0NA,0:0NA,1:0F,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230750B,4,N,87.5,33,1:1B,1:1A,1:1C,0:0NA,1:1C,1:1C,2:1A-,0:0NA,1:1D+,0:0NA,0:0NA,1:1B,1:1C,0:0NA,1:1C,2:1C,2:1C,1:0,1:0
230750B,5,N,69,104,2:1C,2:1D,1:1C+,1:1B,1:1C,2:1D,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1C,1:1C,1:0F,1:1C+,1:1B,1:1D-,2:1B-,1:0
230750B,3,N,84,17,0:0NA,0:0NA,0:0NA,1:0W,1:1C-,1:1A,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1C-,0:0NA,0:0NA,0:0NA,0:0NA
230750B,1,N,0,36,0:0NA,0:0NA,0:0NA,1:1A,1:1C,0:0NA,1:1A-,0:0NA,1:0WU,1:1A,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230750B,4,N,9,43,1:0F,0:0NA,1:1C,1:1A,1:1D,1:1C+,1:1A-,1:1D,1:1A-,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230750B,4,Y,70,50,1:1A,1:1A,1:1A,1:1B,1:1C,1:1A,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,1:1B,1:1B,1:1B,1:1B-,1:1B,1:1C+,1:1B,1:1C
230750B,1,N,33,47,1:1A,1:1C,1:1C,1:1A,1:1A,1:1B,1:1A,0:0NA,1:1A-,0:0NA,0:0NA,1:1A,0:0NA,1:1B+,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230750B,3,N,0,40,0:0NA,0:0NA,0:0NA,1:1A,1:1A,1:1A,1:1A,0:0NA,1:1A-,0:0NA,0:0NA,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230750B,3,N,15,29,0:0NA,0:0NA,1:1B,1:1B,1:1C,0:0NA,0:0NA,0:0NA,1:0,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1C,1:1D,0:0NA,1:1D-,1:1B-
230750B,3,N,70,16,0:0NA,0:0NA,1:1B,1:1C,1:1C,1:1D,1:1B+,0:0NA,2:1B-,0:0NA,0:0NA,1:0F,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230750B,4,N,0,17,0:0NA,0:0NA,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,1:0F,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230750B,3,N,6,38,1:1B-,1:1C+,2:1C+,1:1C,1:1D,2:1C,1:1B+,0:0NA,1:1C,0:0NA,0:0NA,1:1B+,1:1B,2:0F,4:1C,1:1D,1:1C+,0:0NA,0:0NA
230750B,4,N,45,22,0:0NA,1:1B-,0:0NA,1:1C,1:1B+,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1A-,1:0F,0:0NA,1:1C,0:0NA,0:0NA,0:0NA
230750B,3,N,0,17,0:0NA,0:0NA,0:0NA,1:0F,1:0,0:0NA,0:0NA,0:0NA,1:0F,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230750B,5,Y,69,52,1:1C,1:1C,1:1A,1:1A,1:1A,1:1A,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,1:1B,1:1A,0:0NA,1:1C,1:1A,1:1A-,1:1A-,1:1B-
230750B,4,N,90,3,1:1C+,1:1B-,0:0NA,0:0NA,1:1B+,1:1B+,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1C,0:0NA,1:1C+,1:1B+,0:0NA,0:0NA,0:0NA,0:0NA
230750B,2,N,0,7,0:0NA,0:0NA,0:0NA,1:0WU,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230750B,3,N,6,35,0:0NA,0:0NA,0:0NA,2:1B,0:0NA,0:0NA,1:1A,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230750B,3,N,0,9,0:0NA,0:0NA,0:0NA,2:1D,0:0NA,0:0NA,0:0NA,0:0NA,2:1B,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230750B,5,N,67,24,1:1B,1:1B-,1:1B+,1:1C,1:1C,1:1C,0:0NA,0:0NA,2:0,0:0NA,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,1:0WU,0:0NA,0:0NA
230750B,7,Y,6,183,2:1C,2:1C+,2:1D,1:1B,2:1B+,1:1D+,0:0NA,2:1C,1:0,0:0NA,0:0NA,0:0NA,1:1B-,1:1D,1:1B-,1:1B-,1:1B-,1:1B,1:1B
230750B,4,N,0,6,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230750B,3,N,33,11,1:0F,0:0NA,1:1D,1:1C,1:1A,1:1D+,0:0NA,0:0NA,2:0F,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230750B,1,N,67.5,37,1:1A,2:0F,1:1C,1:1A-,1:1B,1:1B,1:1A-,0:0NA,1:1B,0:0NA,0:0NA,1:1C,1:1C+,1:1D+,1:1B-,1:1C+,1:1B-,0:0NA,0:0NA
230750B,5,Y,88.5,56,1:1A,1:1A,1:1B,1:1A,1:1A,1:1C,0:0NA,0:0NA,1:1C,0:0NA,0:0NA,1:1A,1:1B+,0:0NA,1:1C+,1:1B+,1:1C,1:1C,1:1A-
230750B,3,N,31,19,0:0NA,0:0NA,0:0NA,1:1B+,0:0NA,0:0NA,0:0NA,1:1C,2:0F,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230750B,5,N,60.5,27,1:1C,2:0,1:0F,1:0,1:1D,1:0WU,0:0NA,1:0,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230750B,5,N,9,71,1:1C,0:0NA,0:0NA,1:1B,1:1C,1:0WU,0:0NA,1:0NC,0:0NA,0:0NA,0:0NA,1:0,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230750B,3,N,9,35,1:1C,1:1C-,1:1A,1:1B-,2:1C,1:1C,1:1A,1:1C,1:1B,0:0NA,0:0NA,0:0NA,1:1B,1:1C+,1:1C,1:1B-,1:1C-,0:0NA,0:0NA
230750B,1,N,69,43,1:1C,1:1C,1:1C,1:1B,1:1C,1:1C,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,1:1C,1:1A-,1:1C,1:1C,1:1D,3:0,0:0NA,1:1C+
230750B,8,Y,72,52,1:1B,1:1C,1:1C,2:0,1:1C,1:1C,1:1B,0:0NA,1:1C,0:0NA,0:0NA,1:1C,1:1A-,1:0,1:1B,1:1C,2:1B,1:1B,1:1A-
230750B,5,N,0,26,0:0NA,0:0NA,0:0NA,1:1B+,1:0F,0:0NA,0:0NA,0:0NA,1:0WU,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230750B,6,N,74,3,2:0,1:1C,1:1B,1:1B,2:0W,1:1D,1:1D,0:0NA,0:0NA,0:0NA,0:0NA,1:0,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230750B,7,Y,46,87,1:1C,1:1B-,1:1C,1:1D,1:1C,1:1D,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1C,1:1B,1:1C,1:1D+,1:1C-,1:1C,1:1C,1:1C
230750B,6,N,94,3,0:0NA,0:0NA,0:0NA,2:0,1:0W,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230750B,5,N,0,29,0:0NA,0:0NA,0:0NA,2:1C,0:0NA,0:0NA,0:0NA,0:0NA,1:0WU,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230750B,3,Y,70,53,1:1C,1:1C,1:1B,1:1B,1:1B,1:1C,0:0NA,0:0NA,1:1D,0:0NA,0:0NA,1:1C-,1:1B,2:1B-,1:1D,1:1C,2:1C,1:1C,2:0
230750B,7,Y,70,61,1:1A,1:1B-,1:1C,1:1A-,1:1B,1:1B,0:0NA,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,1:1B-,1:1B,2:1C,1:1C,1:1C,1:1B-,1:1B
230750B,5,N,47,75,1:1C,0:0NA,1:1B,1:1C,1:1C,3:0F,1:1D,1:0,0:0NA,0:0NA,0:0NA,1:1C,1:0,2:0F,1:1D,1:1D,1:0,0:0NA,0:0NA
230750B,7,N,0,66,1:1C,1:0F,0:0NA,1:1B,1:1D,1:0F,1:1A-,0:0NA,1:1C,0:0NA,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,1:0F,0:0NA,0:0NA
230750B,6,Y,8,143,2:1C+,1:1C,1:1C-,2:1A,1:1D,4:0NC,0:0NA,2:1C,1:1C,0:0NA,0:0NA,0:0NA,1:1B-,1:1B,1:1C+,2:0WU,1:1D,2:1C-,1:1D-
230750B,5,Y,64,56,1:1B,1:1B,1:1A,1:1A,1:1B,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1B,1:1B+,1:1B+,1:1C+,1:1B-,1:1C+,1:1B-,1:1B+
230750B,3,N,70,6,1:1B,2:1B,1:1B,1:1B,1:1A,1:1A,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230750B,3,Y,70,50,1:1B,1:1C,1:1C,1:1A,1:1C,1:1B,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,1:1A,1:1B,1:1B+,1:1C+,1:1C+,1:1B,1:1C,1:1A-
230750B,6,N,53.3,15,1:1B,0:0NA,1:1B,1:1C,2:1A,1:1D,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,1:1B-,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230750B,5,Y,70,50,1:1C,1:1B,1:1A,0:0NA,1:1C,1:1C,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,1:1C,1:1B-,1:1B,1:1B,1:1C+,1:1C-,1:1C+,1:1B
230750B,6,Y,93,62,1:1B,1:1A-,1:1A-,1:1C,1:1A,1:1C,0:0NA,0:0NA,1:1C,0:0NA,0:0NA,1:1A-,1:1B+,1:1C-,1:1C+,1:1C+,1:1B,1:1B-,1:1C
230750B,5,Y,69,51,1:1B,1:1A,1:1A,1:1C,1:1B,1:1B,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,1:1B,1:1A-,2:0,1:1C,1:1B,1:1B,1:1C,1:1B
230750B,7,Y,28,94,1:1C+,1:1C,1:1C+,1:1B,1:1A-,1:1B,0:0NA,1:1C,1:1B+,0:0NA,0:0NA,0:0NA,1:1A,0:0NA,1:1A,1:1B-,1:1B-,1:1A,1:1A
230750B,5,N,65,46,1:1D,1:1C,1:1C-,1:1B-,1:1B,1:1B,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,1:1D,1:1C+,1:1C,1:1C,1:1B-,1:1C-,0:0NA,1:0
230750B,5,N,9,122,1:1C,1:1D,1:1C-,1:1A,2:0,1:1B-,1:1A,1:1C,1:0,0:0NA,0:0NA,0:0NA,2:0,2:0WU,1:1C+,1:1B-,1:1D-,2:1C+,1:1B-
230750B,7,Y,57,64,1:1A,1:1B,2:0,1:1B,1:1A,1:1B,1:1A,0:0NA,1:1B,0:0NA,0:0NA,1:1B,1:1B+,2:0,1:1B,1:1B-,1:1C+,1:1B-,1:1A-
230750B,5,N,77,19,2:0F,1:1B,2:0F,2:1B-,3:0,1:0,0:0NA,0:0NA,2:1B,0:0NA,0:0NA,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230750B,1,N,85,3,1:1B,1:1B,0:0NA,0:0NA,1:1B,1:1B,0:0NA,0:0NA,1:1C,0:0NA,0:0NA,1:1B,0:0NA,0:0NA,1:1C,1:1B-,1:0WU,0:0NA,0:0NA
230750B,9,N,70,39,1:1D,1:0,2:1C,1:1B+,1:1A,1:1A,0:0NA,0:0NA,2:0F,0:0NA,0:0NA,1:1B,0:0NA,0:0NA,0:0NA,1:1C,1:1D,0:0NA,0:0NA
230750B,6,N,62,57,1:1C,1:1D+,1:1C,1:1C,1:1C,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1C,1:1C+,2:1B,1:1C,2:1C,1:1C,2:0,1:1C
230750B,6,N,42,48,1:1D,0:0NA,1:1C,2:1B+,1:1C,2:1D,0:0NA,0:0NA,3:1C,0:0NA,0:0NA,2:0WU,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230750B,6,Y,0,132,2:1B,1:1C,1:1C,1:1B,1:1C,2:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1B,1:1B,1:1C-,1:1A,1:1A,1:1B-,1:1B,1:1A
230750B,5,Y,60,75,1:1B,1:1C-,1:1C+,1:1B,1:1A,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1C,1:1A-,1:1C-,1:1C+,1:1B,2:1D+,1:1B-,1:1B
230750B,6,N,89,31,1:1A,1:1A,1:1B-,1:1A,1:1C,1:1C+,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1A,1:1A-,0:0NA,0:0NA,0:0NA,1:1C,0:0NA,0:0NA
230750B,4,N,66,3,0:0NA,0:0NA,0:0NA,1:0F,1:0F,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230750B,9,Y,0,123,1:1A,1:1B-,1:1C+,1:1A,1:1C,2:1A,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,2:1B,1:1B,1:1C,1:1A-,1:1B-,1:1A-,1:1B-
230750B,4,N,0,134,1:1C+,3:1B,1:1C-,1:1A,0:0NA,0:0NA,0:0NA,1:1C+,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,3:1C,2:1C,1:1B-,2:0F,1:1C,1:1D+
230750B,7,Y,0,132,1:1C,1:1C,1:1D,1:1C,2:0,3:1C-,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,1:1A-,1:1D+,1:1C-,1:1C+,1:1D,1:1C-,1:1C
230750B,5,N,40.5,50,2:1A-,1:0,1:0F,1:1A-,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230750B,4,Y,70,63,1:1B,1:1B,1:1B,1:1B,1:1B,1:1B,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,1:1A,1:1B-,1:1C-,1:1C-,1:1C+,1:1C-,1:1C,1:1C-
230750B,7,N,70,58,1:1C,1:1B,1:1B,1:1A,2:0F,1:1C,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,1:1B,2:1C,2:1B-,1:1B+,2:1C-,1:1B-,1:1B,1:1D+
230750B,6,N,4,52,0:0NA,0:0NA,0:0NA,1:1B+,1:1B,0:0NA,0:0NA,0:0NA,1:1A-,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230750B,5,N,7,83,0:0NA,0:0NA,1:1D+,2:1C,2:1D,0:0NA,1:1C,0:0NA,2:0F,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1B+,0:0NA,0:0NA,1:1B
230750B,5,N,3,87,2:0F,0:0NA,1:1C,1:1B+,1:1D,1:1D,1:0B-,0:0NA,0:0NA,0:0NA,0:0NA,1:1D,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230750B,4,N,29,77,1:0F,0:0NA,1:1A-,1:1A,1:1B,1:1B,0:0NA,0:0NA,1:1B,0:0NA,0:0NA,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230750B,8,Y,70,58,1:1C,2:0,1:1B,1:1C,1:1C,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1C,3:1A-,1:1A-,1:1B-,1:1A-,1:1C+,1:1C+,1:1A-
230750B,1,N,93,48,1:1B,1:1A-,1:1A,1:1B,1:1A,1:1A-,0:0NA,1:1A,0:0NA,1:1B,1:1B,0:0NA,1:1B,1:1B+,1:1B+,1:1B+,1:1B,0:0NA,0:0NA
230750B,5,N,70,21,1:1B,1:1D,1:1A,1:1B,1:1C,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,2:1C-,0:0NA,0:0NA
230750B,7,Y,80,65,1:1A-,1:1B+,1:1B-,1:1A,2:0,1:1A,1:1A,0:0NA,1:1A,0:0NA,0:0NA,1:1A,1:1B,1:1A-,1:1B+,1:1B+,1:1A-,1:1A,1:1B
230750B,4,Y,36,88,3:0,1:1B+,2:0,1:1A,2:0,1:1B,0:0NA,1:0,1:0,0:0NA,0:0NA,1:1A-,1:1B-,1:1B-,1:1B+,1:1B,3:1B,1:1B+,1:1B
230750B,6,N,70,49,1:1A,1:1A,1:1B,1:1A,1:1B,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1B,1:1B+,1:1B,1:1B-,1:1B,1:1C+,1:1C,1:1B
230750B,4,N,6,140,1:1D,1:0,1:1D+,2:0C,1:0D-,2:0,0:0NA,2:1D-,2:0F,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,2:0,0:0NA,0:0NA
230750B,3,Y,10,122,2:0F,1:1C+,1:1C+,1:1C-,1:1C,1:1D,0:0NA,1:1A,2:0,0:0NA,0:0NA,0:0NA,1:1B,1:1C+,1:1B,1:1B-,1:1B-,1:1C+,3:1C
230750B,7,N,6,83,2:1C+,1:0,1:1C+,1:1A,1:1C,1:1C,0:0NA,0:0NA,1:1B,0:0NA,0:0NA,1:1B+,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
