Major_Cd,N_Terms,Graduated,Transfer_Cr,Inst_Cr,ACCT220,ACCT230,BLAW280,COMP100,ECON160,ECON161,ENGL205,MATH103,SOM120,MATH150A,MATH150B,MATH140,BUS302,FIN303,MGT360,MKT304,SOM306,ECON308,MGT370,MKT380,BLAW308
230741B,6,N,70,30,1:1B,1:1C,2:0,1:1B,1:1C,1:1C,1:1C,2:1C+,0:0NA,0:0NA,0:0NA,1:1C,1:1B,2:0NC,1:0F,1:1C,0:0NA,2:1C-,1:0,3:1C+,0:0NA,1:1D+
230741B,6,Y,70,55,1:1C,1:1C,1:1A,1:1B,1:1B,1:1C,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,1:1C,1:1C,1:1CR,1:1D-,1:1C+,1:1C,2:1B-,0:0NA,1:1B+,0:0NA,1:1C
230741B,3,N,60.3,22,1:1A,1:1B,1:1B-,1:1A,1:1A,1:1C,1:1A,1:1A-,0:0NA,0:0NA,0:0NA,1:1B,1:1B,1:1CR,1:1B-,1:1B,2:1B,2:1B,0:0NA,0:0NA,0:0NA,2:1C+
230741B,6,Y,12,119,1:1D,1:1D+,1:1D-,1:1A,2:1D,2:1C,0:0NA,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,1:1C+,2:1CR,2:0,1:1C,2:1D+,1:1D,2:1C,2:1A-,0:0NA,1:1C+
230741B,4,N,70,21,1:1C,1:1B,1:1B,1:1C,1:1C,1:1A,1:1C,1:1C,0:0NA,0:0NA,0:0NA,1:1C,1:1B,2:0NC,2:1D+,2:1D+,1:1C+,1:1D,1:0,1:0,0:0NA,0:0NA
230741B,7,N,61,78,1:1C,1:1D,1:1C,1:1B,1:1B,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1C,1:1B+,1:1CR,1:1C,1:1B-,1:1C,2:0F,0:0NA,1:1C,0:0NA,1:1C
230741B,6,Y,72.8,73,2:0B+,3:0,1:1C,2:1C+,1:1C,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1C,1:1B+,1:1CR,1:1C-,1:1C-,1:1C,1:1D+,1:1C,1:1B+,0:0NA,1:1C
230741B,8,Y,66,67,1:1C,2:1D,1:1C,1:1B,1:1C,1:1C,0:0NA,0:0NA,1:1C-,0:0NA,0:0NA,0:0NA,1:1B,1:1CR,1:1A,2:1C+,1:1B-,2:1C+,1:1C,1:1B,0:0NA,1:1C+
230741B,6,Y,70,52,1:1A,1:1C,1:1C,1:1B,1:1C,1:1B,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,1:1B,1:1B-,1:1CR,4:1B,2:0,1:1D+,1:1D,1:1D,1:1A-,0:0NA,1:1D
230741B,6,Y,7,113,1:1B,1:1A-,1:1A,1:1A,1:1B,1:1B-,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1B-,1:1CR,1:1B,1:1A-,1:1B,1:1C+,1:1C,1:1A,0:0NA,1:1B
230741B,1,Y,70,58,1:1A,1:1C,1:1A,1:1A,1:1B,1:1B,1:1A,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,1:1B+,1:1CR,1:1B+,1:1B+,1:1C+,1:1C+,1:1B,1:1C,0:0NA,1:1B+
230741B,5,N,22.3,46,0:0NA,0:0NA,0:0NA,1:1A-,2:0F,0:0NA,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,1:0F,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,7,Y,65,60,1:1C,1:1A,1:1B,1:1A,1:1C,1:1C,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,1:1C,2:1C+,2:0,1:1B,2:1C,3:1C+,1:1A,1:1C,2:1C+,0:0NA,1:1D
230741B,8,Y,65,69,1:1C,1:1B,1:1B,1:1B,1:1C,1:1C,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,1:1A,1:1C+,3:1CR,3:1B-,1:1C,1:1C-,1:1D+,1:1B,1:1B-,0:0NA,1:1C+
230741B,2,Y,55,87,1:1A,0:0NA,1:1C,1:1B,1:1C,1:1C,1:1C,0:0NA,0:0NA,2:0F,0:0NA,1:1C,1:1C-,6:1CR,2:1B,1:1B,1:1C,1:1B-,2:1D,1:1B+,0:0NA,2:1B-
230741B,5,Y,70,52,1:1B,1:1C,1:1C,1:1C,1:1B,1:1C,1:1C,1:1B,0:0NA,0:0NA,0:0NA,1:1C,1:1B-,1:1CR,1:1C,1:1B-,1:1C,1:1D-,0:0NA,1:1A-,0:0NA,1:1C-
230741B,6,Y,66,75,1:1B,1:1C,1:1A,1:1A,1:1C,1:1C,0:0NA,2:1B+,0:0NA,0:0NA,0:0NA,1:1C,2:1B,5:1CR,1:0D-,1:1C+,2:1B-,2:1D+,2:1D,1:1B+,0:0NA,4:1C
230741B,8,Y,70,52,1:1B,1:1B,1:1A,1:1A,1:1B,1:1B,1:1C,0:0NA,0:0NA,1:1A,0:0NA,1:1A,1:1B+,2:1CR,0:0NA,1:1A-,1:1A-,1:1B,1:1C,1:1A-,0:0NA,2:0
230741B,3,N,70,25,1:1A,1:1B,1:1B,1:1A,1:1A,1:1B,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,1:1C,1:1B+,1:1CR,1:1A-,1:1B,2:1B-,1:1C+,1:0,0:0NA,0:0NA,2:1B-
230741B,8,Y,13.3,122,2:0,1:1D,1:1B-,2:1C,1:1C,2:0,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,3:1D+,1:1B,1:1CR,2:1B,2:0,2:0,1:1C,3:0,1:1A,0:0NA,1:1C
230741B,6,N,25,53,2:0,1:1B,1:1C,1:1A-,1:1C,1:1C,1:1B,1:1B,0:0NA,0:0NA,0:0NA,1:1B,1:1B+,1:1CR,1:1C+,1:1C+,1:1B-,1:1C+,0:0NA,0:0NA,0:0NA,1:1B+
230741B,5,Y,76,54,1:1A,1:1B,1:1C,1:1A,1:1C,1:1C,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,1:1C,1:1B-,1:1CR,1:1D+,1:1C+,2:1B,1:1C,1:1D+,1:1A-,0:0NA,1:1C-
230741B,2,N,69,12,1:1B,1:1B,1:1B,1:1A,1:1B,1:1B,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,1:1B,1:1B,1:1CR,1:1B-,1:1A,1:1B+,1:1C-,0:0NA,0:0NA,0:0NA,1:1B+
230741B,3,N,88,18,0:0NA,0:0NA,1:1D,2:1C+,2:1D,1:0F,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,5,N,6,42,0:0NA,0:0NA,0:0NA,1:1C+,1:0F,0:0NA,1:1C,1:0F,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,5,Y,70,69,1:1C,0:0NA,1:1B,1:1A,1:1B,1:1C,0:0NA,1:1C,1:1D+,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,3:1C,2:1C+,1:1C-,1:0,0:0NA,1:1A,0:0NA,2:1C
230741B,2,N,70,13,1:1A,1:1A,1:1A,1:1A,1:1A,1:1A,1:1A,1:1A,0:0NA,0:0NA,0:0NA,1:1A,2:0,1:1CR,0:0NA,0:0NA,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,3:1B
230741B,4,N,57,38,1:1B,1:1D,1:1C,1:1B,1:1C,1:1D+,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,1:1C,1:1A-,1:1CR,1:1C-,1:1B+,1:1C+,1:1B-,1:1C,1:1A-,0:0NA,1:1C
230741B,6,Y,66,56,1:1B,1:1B,1:1A,1:1B,1:1B,1:1A,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,1:1C,1:1C+,2:1CR,1:1C-,1:1A-,1:1C,1:1D,2:0,1:1B+,0:0NA,1:1C+
230741B,3,N,70,12,1:1B,1:1C,1:1B,1:1A,1:1A,1:1B,1:1B,1:1C,0:0NA,0:0NA,0:0NA,1:1B,1:1B-,2:1CR,1:1B-,1:1C,1:1C,1:1C-,0:0NA,0:0NA,0:0NA,1:1D-
230741B,6,Y,70,50,1:1B,1:1A,1:1A,1:1B,1:1B,1:1A,1:1B,1:1B,0:0NA,0:0NA,0:0NA,1:1B,1:1B,4:1CR,1:1C-,1:1C-,1:1C-,1:1C-,2:1C,1:1A-,0:0NA,1:1C+
230741B,8,Y,13,144,1:1D,3:1C,3:0,1:1B+,2:1C,2:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1D,2:1B,3:1CR,2:1C-,2:1B-,2:1B,2:0,2:1C-,1:1A-,0:0NA,1:1B
230741B,2,N,61.6,54,0:0NA,1:1C+,1:1C,1:1A-,1:1D,1:1D-,1:1D+,2:1D+,0:0NA,0:0NA,0:0NA,1:1C,2:0,1:0,1:0,1:0,0:0NA,1:1D+,1:1D-,0:0NA,0:0NA,1:0
230741B,3,N,67.5,13,1:1B,1:1A,1:1A,1:1B,1:1A,1:1C,1:1B,1:1B-,1:1B-,0:0NA,0:0NA,1:0,0:0NA,0:0NA,0:0NA,0:0NA,1:1C+,0:0NA,1:0,0:0NA,0:0NA,0:0NA
230741B,6,N,14,117,1:1C,2:0,1:1C-,1:1A-,2:0,2:1C-,0:0NA,0:0NA,2:0F,0:0NA,0:0NA,3:0,2:1A-,2:1CR,1:1B,1:1B,1:1C-,1:1C,0:0NA,0:0NA,0:0NA,3:1C
230741B,8,Y,51,69,1:1C,2:0,1:1B,1:1B,2:0,1:1B,0:0NA,0:0NA,1:1C+,0:0NA,0:0NA,0:0NA,1:1B,2:1CR,1:1C-,1:1C,2:1B,1:1C,1:1C,2:0,0:0NA,1:1C
230741B,1,N,15,125,5:1C+,2:1B+,3:1B+,1:1B,2:1C,2:1C+,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1C,1:1D,5:0,1:0,1:1C,2:1B,1:1D+,1:0,1:1A,0:0NA,1:1D+
230741B,5,N,70,47,1:1C,1:1B,1:1B,1:1B,1:1C,1:1C,1:1B,1:1B,0:0NA,0:0NA,0:0NA,1:1B,2:1C+,2:1CR,2:1C,2:1C,4:0D,2:0F,1:1D,1:1C,0:0NA,1:1C
230741B,3,N,0,16,0:0NA,0:0NA,0:0NA,1:0WU,0:0NA,0:0NA,0:0NA,2:0,0:0NA,0:0NA,0:0NA,1:0WU,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,5,Y,70,55,1:1C,1:1B,1:1A,1:1A,1:1C,1:1C,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,1:1B,1:1C+,4:1CR,1:1A,1:1B,1:1B-,1:1C+,0:0NA,1:1A,0:0NA,1:1C-
230741B,3,Y,70,67,1:1D,1:1C,1:1C+,2:1A-,1:1C,1:1C,0:0NA,0:0NA,0:0NA,1:1C,0:0NA,1:1A,1:1B,1:1CR,1:1C,1:1B-,1:1B,1:1C-,1:1C,1:1B+,0:0NA,1:1B
230741B,5,N,15,100,3:1B,4:0,1:1D-,2:1A-,2:0F,2:0,0:0NA,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,2:0,0:0NA,4:0,0:0NA,1:1C-,0:0NA,3:0
230741B,8,Y,65,55,1:1C,1:1C,1:1B,1:1B,1:1C,1:1B,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,1:1B,1:1B+,2:1CR,1:1D-,1:1C,1:1C,2:1D+,1:0F,1:1B,0:0NA,2:1D-
230741B,6,Y,70,59,1:1B,1:1C,1:1A,1:1A,1:1B,1:1A,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,1:1C,1:1A-,1:1CR,1:1C+,1:1B+,1:1C,1:1A,1:1D,3:1B+,0:0NA,1:1D
230741B,2,N,70,15,1:1B,2:0,1:1A,1:1C,1:1B,1:1B,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,1:1B,1:1B-,3:1CR,1:1C,2:1D+,1:1C,1:1D+,0:0NA,0:0NA,0:0NA,2:1B-
230741B,6,Y,68,52,1:1A,1:1B,1:1A,1:1A,1:1B,1:1C,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,1:1D,1:1B,2:1CR,1:0,1:1B-,1:1B-,1:1C-,2:1D,1:1B-,0:0NA,1:1C
230741B,2,N,3,12,0:0NA,0:0NA,0:0NA,2:1C,0:0NA,0:0NA,0:0NA,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,7,N,70,27,1:1B,1:1B,1:1C,1:1A,1:1C,1:1C,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,1:1C,2:0,3:0,1:1A-,2:0F,1:1C,1:1C+,1:1D,0:0NA,0:0NA,2:1D-
230741B,3,N,57,6,1:1D,0:0NA,1:1D,1:1A,1:1C,1:1B,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,6,Y,14,111,1:1B-,3:0,3:0F,1:1C,1:1C+,2:0F,0:0NA,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,1:1A-,1:1CR,2:1B,1:1B,1:1C-,2:1C-,1:1C,1:1A-,0:0NA,1:1C
230741B,4,N,3,82,1:1A,1:1A,1:1B+,1:1B,2:1A-,1:1A-,1:1A,1:1C,1:1A,0:0NA,0:0NA,1:0,1:1A-,1:1CR,1:1B-,1:1B,1:1B-,1:1B,0:0NA,0:0NA,0:0NA,1:1B-
230741B,7,Y,16,144,1:1B,1:1C,1:1C+,1:1A,1:1B,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1A,1:1C,1:1CR,1:1C-,1:1C,1:1C,1:1B-,2:1B,1:1B+,0:0NA,1:1D+
230741B,7,N,8,109,4:0F,2:0WU,1:1C,2:1B+,1:1C,1:1D+,0:0NA,0:0NA,1:0,0:0NA,0:0NA,7:1C-,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1C,1:1C,0:0NA,0:0NA,0:0NA
230741B,8,Y,21,102,1:1A,3:1B+,1:1A,1:1A,1:1B,1:1B,0:0NA,0:0NA,1:0,0:0NA,0:0NA,1:1A,1:1C,2:1CR,1:1A,1:1A-,2:1A,1:1B+,3:1A,2:0,0:0NA,1:1B
230741B,7,Y,67,55,1:1C,1:1C,1:1C,1:1A,1:1C,1:1C,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,1:1C,2:1B+,1:1CR,1:1C+,1:1B-,2:1C,1:1C+,1:1D,3:1B,0:0NA,2:1B+
230741B,5,N,0,99,2:1C,1:1C+,2:1C+,3:1A,2:1C+,1:1C-,1:1B-,1:1B,0:0NA,0:0NA,0:0NA,1:1D,1:1A,1:1CR,0:0NA,1:1C,1:1B+,1:1B,0:0NA,0:0NA,0:0NA,0:0NA
230741B,6,Y,70,76,1:1C,1:1C,1:1A,1:1A,1:1B,1:1B,0:0NA,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,2:1C+,4:1CR,1:0F,1:1C,1:1C+,1:1C,2:1D+,1:1A-,0:0NA,1:1B-
230741B,6,Y,58,90,1:1,1:1B,1:1C,1:1D,1:1C,1:1C+,0:0NA,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,1:1B,1:1CR,1:1D,1:1B+,1:1C,2:1D,1:1C+,1:1B+,0:0NA,1:1C-
230741B,8,Y,52,78,2:0F,2:1B,1:1C,1:1B,1:1A,1:1C,1:1C,0:0NA,1:1B+,1:1C,0:0NA,0:0NA,1:1A-,1:1CR,1:1B-,1:1A-,1:1C+,1:1B+,0:0NA,1:1B-,0:0NA,1:1C+
230741B,3,N,0,29,0:0NA,0:0NA,0:0NA,1:1A,0:0NA,0:0NA,0:0NA,1:1D,0:0NA,0:0NA,0:0NA,2:0F,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,5,N,70,34,1:1B,2:0,1:1B,1:1C,1:1C,1:1C,0:0NA,3:1A,0:0NA,0:0NA,0:0NA,1:1C,1:1B+,5:0,1:1D,1:1C+,2:1C,1:1D,2:0,0:0NA,0:0NA,1:1D-
230741B,3,N,12,26,1:1C,0:0NA,0:0NA,1:1A,0:0NA,0:0NA,0:0NA,1:1B+,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,1,N,54,58,2:0,1:1B+,1:1C+,1:1A,1:1B,1:1B,0:0NA,2:1A,0:0NA,0:0NA,0:0NA,2:1B+,1:1A,1:1CR,1:1A-,1:1B,1:1B-,1:1B,0:0NA,0:0NA,0:0NA,1:1B
230741B,6,Y,16,139,1:1C,1:1B,2:1C+,2:1B+,1:1C,1:1C,0:0NA,1:1B,1:1C,0:0NA,0:0NA,1:1B-,1:1B,1:1CR,1:1C,1:1B-,1:1C+,1:1C-,1:1D,1:1A,0:0NA,1:1D
230741B,7,Y,70,71,1:1B,2:1C,2:0,1:1B,1:1B-,1:1C-,0:0NA,1:1B,1:1C,0:0NA,0:0NA,1:0,3:1B+,1:1CR,1:1B-,1:1B,1:1B+,1:1B+,0:0NA,1:1A-,0:0NA,1:1D
230741B,6,N,0,67,0:0NA,0:0NA,0:0NA,3:0,3:0F,0:0NA,0:0NA,0:0NA,1:0WU,0:0NA,0:0NA,1:0,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,3,N,63,25,1:1C,1:1D,1:1A,1:1A,1:1B,1:1C,0:0NA,0:0NA,1:1C+,1:1C,0:0NA,0:0NA,1:1B+,2:1CR,1:1B,1:1C+,1:1D,1:1A-,0:0NA,0:0NA,0:0NA,1:1C
230741B,7,N,3,128,4:1C,3:1C-,1:1C-,1:1B-,1:1B,1:1D-,0:0NA,0:0NA,1:1D,0:0NA,0:0NA,0:0NA,1:1B,1:1CR,2:0F,2:1C,1:1C+,3:1D+,1:1C,1:1B-,0:0NA,1:1C-
230741B,2,N,86.5,19,1:1A,1:1A,1:1A-,1:1A,1:1A,1:1A-,1:1B+,1:1A,1:1A,0:0NA,0:0NA,1:0,1:1B-,1:1CR,1:1A,2:1A,1:1A-,1:1A,0:0NA,0:0NA,0:0NA,1:1A
230741B,3,Y,70,58,1:1A,1:1B,1:1A,1:1A,1:1A,1:1B,1:1A,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,1:1B+,1:1CR,1:1B,1:1A,1:1B-,1:1A,1:1B,1:1B,0:0NA,1:1B-
230741B,2,N,70,22,1:1B,3:0,1:1B,1:1A,1:1C,1:1A,1:1B,1:1C,1:1B,0:0NA,0:0NA,1:0,1:1A-,1:1CR,0:0NA,2:1A,2:1A,1:1B-,1:0,0:0NA,0:0NA,1:1C
230741B,8,N,0,127,2:1D,3:1C-,1:1C-,1:1B+,3:1C,2:1D+,0:0NA,1:0,1:0F,0:0NA,0:0NA,1:1C,2:1C,4:0NC,1:1B-,2:1C,1:1C,1:1D,1:0F,1:0,0:0NA,1:1C-
230741B,4,Y,74,58,1:1A,1:1A,1:1A,1:1A,1:1A,1:1B,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,1:1A,1:1A-,3:1CR,0:0NA,1:1C+,1:1B-,1:1A,1:1B,2:1A,0:0NA,1:1B
230741B,5,Y,70,58,1:1A,1:1A,1:1B,1:1A,1:1B,1:1A,0:0NA,0:0NA,0:0NA,1:1B,0:0NA,1:1A,1:1B,2:1CR,1:1B,1:1A,1:1B,1:1A,1:1B,1:1A-,0:0NA,1:1B+
230741B,7,Y,70,55,1:1B,1:1B,1:1A,1:1A,1:1B,1:1B,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,1:1A,1:1A-,1:1CR,1:1B,1:1A-,1:1B-,2:1C+,1:1B,1:1A,0:0NA,1:1A-
230741B,6,Y,3,146,2:1D,1:1D,1:1C,2:0,2:1C,1:1C+,0:0NA,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,1:1B,1:1CR,1:1B-,1:1C-,1:1C,1:1C-,1:1D,1:1B+,0:0NA,1:1C+
230741B,7,Y,70,50,1:1C,1:1C,1:1B,1:1,1:1B,1:1C,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1C,3:1CR,0:0NA,1:1C,1:1C,1:1D-,1:1D,1:1A-,0:0NA,1:1B-
230741B,5,Y,70,52,1:1C,1:1C,1:1B,1:1A,1:1C,1:1B,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,1:1A,1:1B-,2:1CR,2:1B-,1:1C+,1:1C,1:1D+,2:1C,1:1A-,0:0NA,1:1C
230741B,6,Y,92,78,1:1B,1:1A-,1:1A-,0:0NA,1:1B,1:1A,0:0NA,0:0NA,0:0NA,1:1B,1:1B,1:1A,1:1B,1:1CR,1:1B,1:1B+,1:1B-,1:1C+,1:1B-,1:1A,0:0NA,1:1B
230741B,3,N,0,26,0:0NA,0:0NA,0:0NA,1:1B+,0:0NA,0:0NA,0:0NA,1:0F,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,7,Y,70,65,1:1A,1:1A,1:1B,1:1A,1:1B,1:1C,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,1:1A,7:1A,6:1CR,1:1C,1:1A-,1:1B+,1:1B-,4:1A,1:1A,0:0NA,7:1C-
230741B,5,Y,70,52,1:1C,1:1B,1:1A,1:1B,1:1C,1:1C,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,1:1C,1:1B,2:1CR,1:1D,1:1C+,1:1C+,1:1C,1:1D,1:1B+,0:0NA,3:1C
230741B,7,Y,70,58,1:1B,1:1B,1:1B,1:1A,1:1C,1:1B,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,1:1B,1:1C+,3:1CR,4:1C,1:1D,1:1C,1:1C,1:1B-,1:1A,0:0NA,1:1C
230741B,7,Y,70.3,77,1:1A,1:1B,1:1C+,1:1A,1:1A,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1C+,1:1A-,1:1CR,0:0NA,1:1C+,1:1B,1:1D+,1:1C-,1:1B+,0:0NA,1:1D+
230741B,7,Y,70,84,1:1C,1:1A,1:1C,1:1B+,1:1B,1:1B,0:0NA,0:0NA,1:1D,0:0NA,0:0NA,2:1C-,2:1B-,4:1CR,0:0NA,1:1C,1:1B-,1:1D-,1:1D,2:1A-,0:0NA,1:1D+
230741B,3,N,76,31,1:1B,2:1D+,1:1C,1:1B,1:1C,1:1C,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,1:1C-,3:1B-,3:0NC,2:0F,2:1D+,1:1D,4:0WU,1:0WU,1:1C+,0:0NA,2:1C
230741B,6,N,70,66,3:0,0:0NA,3:1C,2:1B+,3:0F,2:0F,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,2:0,1:0F,2:1D,0:0NA,0:0NA,0:0NA,1:0
230741B,7,Y,70,53,1:1C,1:1B,1:1C,0:0NA,1:1C,1:1C,1:1A,2:1A-,0:0NA,0:0NA,0:0NA,1:1C,1:1C,1:1CR,1:1D,1:1C,1:1C,1:1D,1:1D,1:1B+,0:0NA,1:1C-
230741B,3,N,0,1,0:0NA,0:0NA,0:0NA,2:0F,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,1,N,66,0,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,6,N,0,12,0:0NA,0:0NA,0:0NA,1:0W,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,5,N,6,76,1:1D,2:0F,1:1C,1:1D,2:1C+,3:0F,0:0NA,1:1C,1:1D,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1D,0:0NA,0:0NA,0:0NA,0:0NA
230741B,1,N,62,0,1:1B,1:1B,1:1C,1:0,2:0,1:0,1:1C,1:1B,2:0,1:1D,0:0NA,2:0,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,3,N,42,16,0:0NA,0:0NA,2:1C+,1:1D+,3:1C,1:1C,1:1C+,2:1D,1:0,0:0NA,0:0NA,1:0,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,5,Y,66,56,1:1B,1:1B,1:1A,1:1A,1:1A,1:1A,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,1:1B,1:1B,1:1CR,1:1D+,1:1C+,1:1C+,1:1C+,1:1C,1:1A,0:0NA,2:1C
230741B,5,N,0,22,0:0NA,0:0NA,0:0NA,1:1B,0:0NA,0:0NA,0:0NA,1:1D,1:1D-,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,3,N,14,41,1:1A,1:1A,1:1A,1:1A,1:1B,1:1B+,0:0NA,1:1A,0:0NA,0:0NA,0:0NA,1:1C,1:1B+,1:1CR,1:1A,2:1A-,1:1B+,2:1A,0:0NA,0:0NA,0:0NA,1:1A-
230741B,5,N,35.5,54,1:1A,1:1A,1:1C+,1:1A,1:1B,1:1A,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,1:1B+,1:1C+,1:1CR,1:1A,1:1B,1:1A-,1:1B,0:0NA,0:0NA,0:0NA,1:1B
230741B,1,N,65,0,0:0NA,0:0NA,0:0NA,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,4,N,70,7,2:1C,1:1C,1:1B,0:0NA,2:1D,1:1D,1:1C,1:0F,0:0NA,0:0NA,0:0NA,2:1D,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,1,N,0,12,0:0NA,0:0NA,0:0NA,1:1C+,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,5,N,87,68,0:0NA,1:1A,1:1A,1:1A,1:1A,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1C+,1:1B+,1:1CR,1:1B,1:1A,1:1A,1:1B+,1:1B,1:1A,0:0NA,1:1A-
