Major_Cd,N_Terms,Graduated,Transfer_Cr,Inst_Cr,ACCT220,ACCT230,BLAW280,COMP100,ECON160,ECON161,ENGL205,MATH103,SOM120,MATH150A,MATH150B,MATH140,BUS302,FIN303,MGT360,MKT304,SOM306,ECON308,MGT370,MKT380,BLAW308
230741B,1,N,62,28,1:1D-,0:0NA,1:1C,1:1B,1:1C,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,2:0WU,0:0NA,0:0NA,1:0F,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,1,N,63,0,0:0NA,0:0NA,1:1A,0:0NA,1:1D-,1:1B+,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,1,N,0,12,0:0NA,0:0NA,0:0NA,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:0,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,1,N,0,51,0:0NA,0:0NA,0:0NA,1:1B+,1:0F,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,1,N,0,0,0:0NA,0:0NA,0:0NA,1:0F,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,1,N,67,12,1:1C,1:1C,1:1B,1:1B,1:1A,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1A,1:1B,1:0W,1:0W,1:1C,1:0W,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,1,N,0,4,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:0F,0:0NA,0:0NA,0:0NA,2:1B-,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,1,Y,63.5,82,1:1C,1:1B+,1:1B-,1:1B+,1:1A,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1C,1:1C,1:1CR,1:1C,1:1B-,1:1B,1:1C,1:1C,1:1B-,0:0NA,1:1B-
230741B,1,N,13,12,0:0NA,0:0NA,0:0NA,2:0F,1:1B,2:0,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,1,Y,70.2,75,1:1C,1:1C+,1:1B,1:1A,1:1C,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1B+,2:1B,2:1CR,1:1C,1:1B,0:0NA,1:1B,1:1B+,1:1A,0:0NA,1:1C
230741B,1,Y,9,134,1:1D,1:1D-,1:1B-,1:1A,1:1D+,2:0F,0:0NA,0:0NA,1:1B,0:0NA,0:0NA,0:0NA,1:1B,1:1CR,2:1C-,1:1C,1:1D+,1:1C,1:1B-,1:1C+,0:0NA,1:1C
230741B,1,N,0,0,0:0NA,0:0NA,0:0NA,1:0F,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,2:0WU,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
